,NOIND,transport_personnel,tv_score,tv_duree,jvideo_score,jvideo_duree,ordi_score,ordi_duree,escalier_score,emploi_4sem,travail_freq_semaine,travail_duree,transport_score,activite_domloissport_duree,activite_domloissport_score,activite_moderee_score,activite_intense_score,activite_total_duree,activite_total_score,nap,profil_activite,sedentarite,sedentarite_duree,conso_gpe1,conso_gpe2,conso_gpe3,conso_gpe4,conso_gpe5,conso_gpe6,conso_gpe7,conso_gpe8,conso_gpe9,conso_gpe10,conso_gpe11,conso_gpe12,conso_gpe13,conso_gpe14,conso_gpe15,conso_gpe16,conso_gpe17,conso_gpe18,conso_gpe19,conso_gpe20,conso_gpe21,conso_gpe22,conso_gpe23,conso_gpe24,conso_gpe25,conso_gpe26,conso_gpe27,conso_gpe28,conso_gpe29,conso_gpe30,conso_gpe31,conso_gpe32,conso_gpe33,conso_gpe34,conso_gpe35,conso_gpe36,conso_gpe37,conso_gpe38,conso_gpe39,conso_gpe40,conso_gpe41,conso_gpe42,strate,region_adm_12cl,region_inca3,agglo_5cl,vacances_interv,sex_PR,tage_PR,etude_4cl_PR,stat_log_2cl,soins,situ_fin_3cl,revenu,RUC_4cl,nbpers,taille,regime_vegetarien,regime_non,veget_viande,veget_prodmer,veget_prodlait,veget_autre_alim,fume,nom_region
2036,116900901,2.0,0.0,0.0,0.0,0.0,3.6428552000000005,2.42857,0.0,1.0,3.4285714999999994,1.7142857,0.28571144,1.4226208999999999,5.3119078,2.7869036,0.0066354848,5.8511882,11.811903,1.0,1.0,1.0,4.4285674,25.0,0.0,0.0,131.42857,0.0,28.571426000000002,0.0,35.714290999999996,5.1428571,0.0,37.542862,11.607142,5.4857144,42.857143,0.0,0.0,41.07143,0.0,0.0,0.0,38.214283,0.0,83.928574,0.0,0.0,0.0,0.49999997,10.080002,0.0,627.67859,260.71429,80.785713,447.7634,0.0,0.0,0.0,4.8571434,0.0,0.0,63.142864,5.3749995,155.97142,22,9,6,4,1,1,1,3,2,2,1,6,2.0,1,180.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0, Auvergne-Rhone-Alpes
2037,116901301,1.0,2.2857101,2.2857101,0.0,0.0,10.5,7.0,1.22221,0.0,0.0,0.0,0.0,5.9107122,35.386897999999995,2.6964287999999996,0.006420068399999999,15.418643,49.394816999999996,2.0,3.0,2.0,9.2857103,22.321428,0.0,0.0,58.571426,0.0,12.857142999999999,0.0,28.571432,30.714287,0.0,0.0,0.34285715,59.699993000000006,0.0,17.142859,0.0,0.0,0.0,0.0,0.0,147.0,0.0,30.571432,113.42572,0.0,0.0,0.0,20.5,0.0,1646.4286,94.285728,0.0,539.28571,389.91074,0.0,0.0,0.0,219.57143,0.0,493.61609000000004,59.362857999999996,0.0,22,9,6,4,1,1,1,2,2,2,2,10,3.0,2,173.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0, Auvergne-Rhone-Alpes
2038,116901801,1.0,1.5,1.5,0.0,0.0,6.642854700000001,4.4285698,0.0,0.0,0.0,0.0,0.0,1.2172613,6.3270812,1.2142777,0.0028911375,7.1458311000000005,14.469935999999999,3.0,3.0,1.0,5.9285698,148.72322,0.0,0.0,137.07143,0.0,76.367928,99.914284,140.8,0.0,0.0,0.0,68.812332,8.8142853,0.0,45.714290999999996,0.0,0.0,59.212502,0.0,0.0,101.35715,0.0,207.14285,282.61249,0.0,0.0,0.0,18.818682,632.4404900000001,162.14287,211.39999,0.0,214.28572000000003,526.19641,0.0,107.14285,0.0,0.0,0.0,80.35714,69.045715,0.0,22,9,6,4,1,1,1,4,2,2,1,12,3.0,4,183.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0, Auvergne-Rhone-Alpes
2039,116902601,3.0,4.0,4.0,0.64286,0.64286,4.5,3.0,0.45831499,1.0,0.21428572,0.21428572,1.6142726,0.4092257,0.93734998,0.78390968,0.0018664516,9.635416000000001,12.645655999999999,1.0,1.0,2.0,8.785722699999999,109.64286000000001,0.0,45.714283,91.07141899999999,0.0,110.21428999999999,345.29523,0.0,22.67683,0.0,0.0,2.8322442000000003,15.771428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.57143,0.0,0.0,209.56572,0.0,17.857141,0.0,20.258394,0.0,1568.0804,281.31696,0.0,0.0,256.69641,0.0,0.0,0.0,0.0,150.00002,202.85713,38.728573,0.0,22,9,6,4,1,1,1,4,2,1,2,7,2.0,2,183.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0, Auvergne-Rhone-Alpes
2040,116902701,1.0,4.1428599,4.1428599,0.0,0.0,2.8928552000000005,1.9285700000000001,0.0,1.0,6.0714288,6.0714288,1.0714285,0.57619017,1.9826781000000002,1.3732142,0.0032695578000000005,13.701192,19.196964,1.0,1.0,2.0,13.125001000000001,289.79999,0.0,0.0,0.0,0.0,32.0,0.0,107.14286000000001,51.42857,12.857142999999999,0.0,22.927315,0.0,35.714283,21.857145000000003,85.714287,47.285713,0.0,0.0,0.0,272.47144,0.0,23.428573999999998,141.05357,115.71428999999999,8.5714293,3.9285717000000004,39.853893,0.0,815.44647,48.857147,51.257145,92.09465,695.11713,0.0,0.0,0.0,16.285715,36.428574,23.928573999999998,53.050003000000004,0.0,22,9,6,4,1,2,1,4,2,2,1,9,4.0,1,173.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0, Auvergne-Rhone-Alpes
2041,117000501,1.0,0.5,0.5,0.0,0.0,0.75,0.5,1.22221,1.0,7.0,4.1428571000000005,0.71429145,1.8898863000000001,5.182153700000001,1.8785716000000001,0.0044727898,7.731157799999999,17.897226,1.0,2.0,0.0,1.4761943000000002,29.4,0.0,0.0,45.333332,0.0,113.29263999999999,201.25,166.66666999999998,0.0,0.0,0.0,0.0,9.987333300000001,15.0,14.0,0.0,18.333334,0.0,0.0,0.0,111.01323000000001,0.0,0.0,28.176665999999997,0.0,5.0,2.4666667,20.75,801.11108,273.33333999999996,120.30833,0.0,10.0,449.58334,0.0,0.0,0.0,10.0,0.0,79.391304,32.333332,0.0,6,8,6,2,2,1,1,1,2,2,1,11,3.0,3,172.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0, Bourgogne-Franche-Comte
2042,117000701,1.0,3.6110332,3.6110332,3.6110332,3.6110332,5.4165497,3.6110332,2.2067425,1.0,5.0,5.0,0.85976982,0.23988143,0.50506794,0.18628347,0.00044353207,17.0,23.710196,1.0,1.0,2.0,16.406281,0.0,0.0,0.0,42.857147,0.0,99.285713,0.0,44.642857,0.0,28.571432,0.0,0.0,0.29714286,0.0,47.535717,0.0,0.0,25.714285,0.0,0.0,73.202515,0.0,0.0,0.0,92.857147,0.0,3.1428572999999997,1.5142857,182.8125,0.0,445.85938,0.0,0.0,464.73215,0.0,0.0,0.0,0.0,40.0,161.42856,11.382143,0.0,6,8,6,2,1,1,1,4,2,2,2,13,4.0,2,160.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0, Bourgogne-Franche-Comte
2043,117100101,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,339.29999,0.0,0.0,75.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,52.5,6.0,95.0,275.0,0.0,22.5,0.0,0.0,0.0,350.3175,0.0,100.0,439.20000999999996,0.0,0.0,8.5,14.0,0.0,552.5,0.0,0.0,193.75,549.08667,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,3,8,3,1,1,1,3,1,1,2,2,7,2.0,2,157.0,0.0,1.0,0.0,0.0,0.0,0.0,, Bourgogne-Franche-Comte
2044,117100301,1.0,2.5,2.5,,,1.2857100000000001,0.85714,0.45831499,0.0,0.0,0.0,0.0,5.0535712,18.194641,15.378570999999999,0.036615643999999996,8.4940414,22.438665,2.0,3.0,1.0,3.3571400999999996,70.928574,10.714286,0.0,41.800003000000004,0.0,32.042854,312.0,123.91429,10.285714,0.0,0.0,0.0,5.9999995,0.0,0.0,21.428572,0.0,69.642853,0.0,0.0,178.40001,0.0,169.85713,141.54573,56.785709,0.0,0.0,14.67857,107.14285,495.0,0.0,134.45713999999998,0.0,505.71429000000006,0.0,0.0,0.0,0.0,0.0,0.0,28.282142999999998,0.0,3,8,3,1,2,1,3,4,1,2,1,12,4.0,2,165.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0, Bourgogne-Franche-Comte
2045,117201001,4.0,1.1428601,1.1428601,0.0,0.0,0.96429002,0.64286,0.67660999,1.0,5.5,5.5,1.55898,1.3570870000000002,7.4378551999999996,3.8148861000000003,0.0090830624,9.0979786,20.030596,3.0,3.0,2.0,7.285719900000001,109.04109,0.0,0.0,0.0,0.0,71.102631,13.242857999999998,25.714287,67.571426,0.0,70.445717,19.979565,14.042857000000001,17.857141,0.0,0.0,39.64286,0.0,0.0,0.0,129.57143,0.0,58.571426,379.58572000000004,64.285713,0.0,0.0,1.9285716,317.85715,1224.1666,0.0,101.25,554.2738,1032.0684,0.0,0.0,6.740866199999999,0.0,200.35715,198.57143,4.328572299999999,0.0,20,4,4,4,1,1,2,4,2,2,2,13,3.0,4,181.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0, Pays de la Loire
